序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
12,华灿光电,300323,发行股份购买资产,2017-06-02,2017-06-07,2017-06-30,2017-11-30,2017-12-11,-,-
21,东杰智能,300486,发行股份购买资产,2017-08-31,-,2017-09-07,2017-09-27,2017-12-04,-,-
24,金冠电气,300510,发行股份购买资产,2017-09-11,-,2017-09-14,2017-10-09,2017-11-09,2017-11-30,2017-12-13
28,华鼎股份,601113,发行股份购买资产,2017-09-20,-,2017-09-25,2017-10-18,2017-12-14,-,-
37,新宏泰,603016,发行股份购买资产,2017-09-25,2017-09-28,2017-10-17,2017-11-03,2017-11-24,2017-12-08,2017-12-12
43,文化长城,300089,发行股份购买资产,2017-10-16,-,2017-10-20,2017-11-03,2017-12-11,-,-
46,白云电器,603861,发行股份购买资产,2017-10-20,-,2017-10-25,2017-11-14,2017-12-04,-,-
50,华源控股,002787,发行股份购买资产,2017-10-12,2017-10-17,2017-11-06,2017-11-21,2017-12-14,-,-
51,江南化工,002226,发行股份购买资产,2017-10-24,-,2017-10-27,2017-11-22,2017-12-14,-,-
52,招商轮船,601872,发行股份购买资产,2017-09-29,2017-10-10,2017-11-01,2017-11-22,2017-12-05,-,-
56,雪莱特,002076,发行股份购买资产,2017-10-31,-,2017-11-03,2017-11-23,2017-12-06,-,-
57,中通国脉,603559,发行股份购买资产,2017-11-06,2017-11-08,2017-11-15,2017-12-04,2017-12-15,-,-
62,中国重工,601989,发行股份购买资产,2017-11-14,-,2017-11-20,2017-12-05,2017-12-13,-,-
